#Vds(V)	         Vgs(V)	         CGD (C/um)
-1.00E+00	0.00E+00	-9.04E-11
-1.00E+00	1.00E-01	-2.81E-10
-1.00E+00	2.00E-01	-3.22E-11
-1.00E+00	3.00E-01	-2.35E-12
-1.00E+00	4.00E-01	-2.03E-13
-1.00E+00	5.00E-01	-3.17E-14
-1.00E+00	6.00E-01	-1.14E-14
-1.00E+00	7.00E-01	-6.51E-15
-1.00E+00	8.00E-01	-4.59E-15
-1.00E+00	9.00E-01	-3.61E-15
-1.00E+00	1.00E+00	-3.01E-15
-1.00E+00	1.10E+00	-2.62E-15
-1.00E+00	1.20E+00	-2.34E-15
-1.00E+00	1.30E+00	-2.13E-15
-1.00E+00	1.40E+00	-1.98E-15
-1.00E+00	1.50E+00	-1.85E-15
5.00E-02	0.00E+00	1.08E-16
5.00E-02	1.00E-01	7.80E-17
5.00E-02	2.00E-01	1.10E-17
5.00E-02	3.00E-01	6.60E-18
5.00E-02	4.00E-01	6.27E-18
5.00E-02	5.00E-01	6.18E-18
5.00E-02	6.00E-01	6.14E-18
5.00E-02	7.00E-01	6.11E-18
5.00E-02	8.00E-01	6.09E-18
5.00E-02	9.00E-01	6.07E-18
5.00E-02	1.00E+00	6.05E-18
5.00E-02	1.10E+00	6.04E-18
5.00E-02	1.20E+00	6.03E-18
5.00E-02	1.30E+00	6.02E-18
5.00E-02	1.40E+00	6.01E-18
5.00E-02	1.50E+00	6.00E-18
1.00E-01	0.00E+00	1.08E-16
1.00E-01	1.00E-01	9.63E-17
1.00E-01	2.00E-01	2.90E-17
1.00E-01	3.00E-01	8.35E-18
1.00E-01	4.00E-01	6.41E-18
1.00E-01	5.00E-01	6.20E-18
1.00E-01	6.00E-01	6.14E-18
1.00E-01	7.00E-01	6.11E-18
1.00E-01	8.00E-01	6.09E-18
1.00E-01	9.00E-01	6.07E-18
1.00E-01	1.00E+00	6.05E-18
1.00E-01	1.10E+00	6.04E-18
1.00E-01	1.20E+00	6.03E-18
1.00E-01	1.30E+00	6.02E-18
1.00E-01	1.40E+00	6.01E-18
1.00E-01	1.50E+00	6.00E-18
2.00E-01	0.00E+00	1.08E-16
2.00E-01	1.00E-01	1.08E-16
2.00E-01	2.00E-01	1.00E-16
2.00E-01	3.00E-01	5.67E-17
2.00E-01	4.00E-01	1.46E-17
2.00E-01	5.00E-01	7.56E-18
2.00E-01	6.00E-01	6.62E-18
2.00E-01	7.00E-01	6.38E-18
2.00E-01	8.00E-01	6.27E-18
2.00E-01	9.00E-01	6.21E-18
2.00E-01	1.00E+00	6.17E-18
2.00E-01	1.10E+00	6.15E-18
2.00E-01	1.20E+00	6.12E-18
2.00E-01	1.30E+00	6.10E-18
2.00E-01	1.40E+00	6.09E-18
2.00E-01	1.50E+00	6.07E-18
3.00E-01	0.00E+00	1.08E-16
3.00E-01	1.00E-01	1.09E-16
3.00E-01	2.00E-01	1.09E-16
3.00E-01	3.00E-01	1.07E-16
3.00E-01	4.00E-01	9.11E-17
3.00E-01	5.00E-01	5.01E-17
3.00E-01	6.00E-01	2.75E-17
3.00E-01	7.00E-01	1.94E-17
3.00E-01	8.00E-01	1.58E-17
3.00E-01	9.00E-01	1.38E-17
3.00E-01	1.00E+00	1.26E-17
3.00E-01	1.10E+00	1.18E-17
3.00E-01	1.20E+00	1.12E-17
3.00E-01	1.30E+00	1.07E-17
3.00E-01	1.40E+00	1.04E-17
3.00E-01	1.50E+00	1.01E-17
4.00E-01	0.00E+00	1.08E-16
4.00E-01	1.00E-01	1.10E-16
4.00E-01	2.00E-01	1.10E-16
4.00E-01	3.00E-01	1.10E-16
4.00E-01	4.00E-01	1.11E-16
4.00E-01	5.00E-01	1.19E-16
4.00E-01	6.00E-01	1.31E-16
4.00E-01	7.00E-01	1.31E-16
4.00E-01	8.00E-01	1.26E-16
4.00E-01	9.00E-01	1.20E-16
4.00E-01	1.00E+00	1.15E-16
4.00E-01	1.10E+00	1.11E-16
4.00E-01	1.20E+00	1.07E-16
4.00E-01	1.30E+00	1.04E-16
4.00E-01	1.40E+00	1.01E-16
4.00E-01	1.50E+00	9.85E-17
5.00E-01	0.00E+00	1.09E-16
5.00E-01	1.00E-01	1.10E-16
5.00E-01	2.00E-01	1.10E-16
5.00E-01	3.00E-01	1.10E-16
5.00E-01	4.00E-01	1.11E-16
5.00E-01	5.00E-01	1.14E-16
5.00E-01	6.00E-01	1.30E-16
5.00E-01	7.00E-01	1.56E-16
5.00E-01	8.00E-01	1.77E-16
5.00E-01	9.00E-01	1.88E-16
5.00E-01	1.00E+00	1.95E-16
5.00E-01	1.10E+00	1.99E-16
5.00E-01	1.20E+00	2.01E-16
5.00E-01	1.30E+00	2.03E-16
5.00E-01	1.40E+00	2.04E-16
5.00E-01	1.50E+00	2.05E-16
6.00E-01	0.00E+00	1.09E-16
6.00E-01	1.00E-01	1.10E-16
6.00E-01	2.00E-01	1.10E-16
6.00E-01	3.00E-01	1.11E-16
6.00E-01	4.00E-01	1.11E-16
6.00E-01	5.00E-01	1.10E-16
6.00E-01	6.00E-01	1.13E-16
6.00E-01	7.00E-01	1.25E-16
6.00E-01	8.00E-01	1.44E-16
