#Vds(V)	         Vgs(V)	        CGS (C/um)
-1.00E+00	0.00E+00	1.28E-16
-1.00E+00	1.00E-01	1.96E-16
-1.00E+00	2.00E-01	2.41E-16
-1.00E+00	3.00E-01	2.50E-16
-1.00E+00	4.00E-01	2.80E-16
-1.00E+00	5.00E-01	3.60E-16
-1.00E+00	6.00E-01	4.42E-16
-1.00E+00	7.00E-01	4.86E-16
-1.00E+00	8.00E-01	5.09E-16
-1.00E+00	9.00E-01	5.23E-16
-1.00E+00	1.00E+00	5.32E-16
-1.00E+00	1.10E+00	5.39E-16
-1.00E+00	1.20E+00	5.44E-16
-1.00E+00	1.30E+00	5.48E-16
-1.00E+00	1.40E+00	5.51E-16
-1.00E+00	1.50E+00	5.54E-16
5.00E-02	0.00E+00	1.26E-16
5.00E-02	1.00E-01	2.23E-16
5.00E-02	2.00E-01	2.59E-16
5.00E-02	3.00E-01	2.52E-16
5.00E-02	4.00E-01	2.81E-16
5.00E-02	5.00E-01	3.60E-16
5.00E-02	6.00E-01	4.43E-16
5.00E-02	7.00E-01	4.86E-16
5.00E-02	8.00E-01	5.09E-16
5.00E-02	9.00E-01	5.23E-16
5.00E-02	1.00E+00	5.33E-16
5.00E-02	1.10E+00	5.39E-16
5.00E-02	1.20E+00	5.44E-16
5.00E-02	1.30E+00	5.48E-16
5.00E-02	1.40E+00	5.52E-16
5.00E-02	1.50E+00	5.54E-16
1.00E-01	0.00E+00	4.90E-11
1.00E-01	1.00E-01	2.70E-10
1.00E-01	2.00E-01	5.83E-11
1.00E-01	3.00E-01	4.81E-12
1.00E-01	4.00E-01	4.27E-13
1.00E-01	5.00E-01	6.94E-14
1.00E-01	6.00E-01	2.62E-14
1.00E-01	7.00E-01	1.54E-14
1.00E-01	8.00E-01	1.11E-14
1.00E-01	9.00E-01	8.82E-15
1.00E-01	1.00E+00	7.42E-15
1.00E-01	1.10E+00	6.50E-15
1.00E-01	1.20E+00	5.83E-15
1.00E-01	1.30E+00	5.34E-15
1.00E-01	1.40E+00	4.96E-15
1.00E-01	1.50E+00	4.66E-15
2.00E-01	0.00E+00	1.27E-16
2.00E-01	1.00E-01	1.82E-16
2.00E-01	2.00E-01	2.13E-16
2.00E-01	3.00E-01	2.34E-16
2.00E-01	4.00E-01	2.78E-16
2.00E-01	5.00E-01	3.59E-16
2.00E-01	6.00E-01	4.42E-16
2.00E-01	7.00E-01	4.86E-16
2.00E-01	8.00E-01	5.09E-16
2.00E-01	9.00E-01	5.23E-16
2.00E-01	1.00E+00	5.32E-16
2.00E-01	1.10E+00	5.39E-16
2.00E-01	1.20E+00	5.44E-16
2.00E-01	1.30E+00	5.48E-16
2.00E-01	1.40E+00	5.51E-16
2.00E-01	1.50E+00	5.54E-16
3.00E-01	0.00E+00	9.84E-11
3.00E-01	1.00E-01	1.90E-10
3.00E-01	2.00E-01	2.37E-11
3.00E-01	3.00E-01	2.37E-12
3.00E-01	4.00E-01	2.85E-13
3.00E-01	5.00E-01	6.54E-14
3.00E-01	6.00E-01	2.93E-14
3.00E-01	7.00E-01	1.84E-14
3.00E-01	8.00E-01	1.35E-14
3.00E-01	9.00E-01	1.09E-14
3.00E-01	1.00E+00	9.24E-15
3.00E-01	1.10E+00	8.12E-15
3.00E-01	1.20E+00	7.32E-15
3.00E-01	1.30E+00	6.72E-15
3.00E-01	1.40E+00	6.25E-15
3.00E-01	1.50E+00	5.88E-15
4.00E-01	0.00E+00	1.32E-16
4.00E-01	1.00E-01	1.98E-16
4.00E-01	2.00E-01	2.09E-16
4.00E-01	3.00E-01	2.14E-16
4.00E-01	4.00E-01	2.29E-16
4.00E-01	5.00E-01	2.76E-16
4.00E-01	6.00E-01	3.35E-16
4.00E-01	7.00E-01	3.73E-16
4.00E-01	8.00E-01	3.97E-16
4.00E-01	9.00E-01	4.15E-16
4.00E-01	1.00E+00	4.28E-16
4.00E-01	1.10E+00	4.38E-16
4.00E-01	1.20E+00	4.46E-16
4.00E-01	1.30E+00	4.53E-16
4.00E-01	1.40E+00	4.58E-16
4.00E-01	1.50E+00	4.63E-16
5.00E-01	0.00E+00	1.38E-16
5.00E-01	1.00E-01	2.01E-16
5.00E-01	2.00E-01	2.08E-16
5.00E-01	3.00E-01	2.13E-16
5.00E-01	4.00E-01	2.28E-16
5.00E-01	5.00E-01	2.66E-16
5.00E-01	6.00E-01	3.13E-16
5.00E-01	7.00E-01	3.35E-16
5.00E-01	8.00E-01	3.42E-16
5.00E-01	9.00E-01	3.45E-16
5.00E-01	1.00E+00	3.48E-16
5.00E-01	1.10E+00	3.50E-16
5.00E-01	1.20E+00	3.52E-16
5.00E-01	1.30E+00	3.54E-16
5.00E-01	1.40E+00	3.56E-16
5.00E-01	1.50E+00	3.57E-16
6.00E-01	0.00E+00	1.45E-16
6.00E-01	1.00E-01	2.02E-16
6.00E-01	2.00E-01	2.08E-16
6.00E-01	3.00E-01	2.12E-16
6.00E-01	4.00E-01	2.27E-16
6.00E-01	5.00E-01	2.65E-16
6.00E-01	6.00E-01	3.13E-16
6.00E-01	7.00E-01	3.42E-16
6.00E-01	8.00E-01	3.53E-16
6.00E-01	9.00E-01	3.52E-16
6.00E-01	1.00E+00	3.48E-16
6.00E-01	1.10E+00	3.43E-16
6.00E-01	1.20E+00	3.40E-16
6.00E-01	1.30E+00	3.37E-16
6.00E-01	1.40E+00	3.36E-16
6.00E-01	1.50E+00	3.34E-16
7.00E-01	0.00E+00	1.55E-16
7.00E-01	1.00E-01	2.03E-16
7.00E-01	2.00E-01	2.07E-16
7.00E-01	3.00E-01	2.12E-16
7.00E-01	4.00E-01	2.27E-16
7.00E-01	5.00E-01	2.66E-16
7.00E-01	6.00E-01	3.15E-16
7.00E-01	7.00E-01	3.47E-16
7.00E-01	8.00E-01	3.65E-16
7.00E-01	9.00E-01	3.72E-16
7.00E-01	1.00E+00	3.73E-16
7.00E-01	1.10E+00	3.69E-16
7.00E-01	1.20E+00	3.62E-16
7.00E-01	1.30E+00	3.56E-16
7.00E-01	1.40E+00	3.49E-16
7.00E-01	1.50E+00	3.44E-16
8.00E-01	0.00E+00	1.66E-16
8.00E-01	1.00E-01	2.03E-16
8.00E-01	2.00E-01	2.06E-16
8.00E-01	3.00E-01	2.11E-16
8.00E-01	4.00E-01	2.27E-16
8.00E-01	5.00E-01	2.68E-16
8.00E-01	6.00E-01	3.16E-16
8.00E-01	7.00E-01	3.48E-16
8.00E-01	8.00E-01	3.68E-16
8.00E-01	9.00E-01	3.80E-16
8.00E-01	1.00E+00	3.86E-16
8.00E-01	1.10E+00	3.88E-16
8.00E-01	1.20E+00	3.87E-16
8.00E-01	1.30E+00	3.83E-16
8.00E-01	1.40E+00	3.78E-16
8.00E-01	1.50E+00	3.71E-16
9.00E-01	0.00E+00	1.75E-16
9.00E-01	1.00E-01	2.03E-16
9.00E-01	2.00E-01	2.05E-16
9.00E-01	3.00E-01	2.11E-16
9.00E-01	4.00E-01	2.28E-16
9.00E-01	5.00E-01	2.69E-16
9.00E-01	6.00E-01	3.16E-16
9.00E-01	7.00E-01	3.49E-16
9.00E-01	8.00E-01	3.69E-16
9.00E-01	9.00E-01	3.82E-16
9.00E-01	1.00E+00	3.90E-16
9.00E-01	1.10E+00	3.95E-16
9.00E-01	1.20E+00	3.97E-16
9.00E-01	1.30E+00	3.97E-16
9.00E-01	1.40E+00	3.95E-16
9.00E-01	1.50E+00	3.92E-16
1.00E+00	0.00E+00	1.83E-16
1.00E+00	1.00E-01	2.02E-16
1.00E+00	2.00E-01	2.05E-16
1.00E+00	3.00E-01	2.10E-16
1.00E+00	4.00E-01	2.28E-16
1.00E+00	5.00E-01	2.71E-16
1.00E+00	6.00E-01	3.17E-16
1.00E+00	7.00E-01	3.49E-16
1.00E+00	8.00E-01	3.68E-16
1.00E+00	9.00E-01	3.81E-16
1.00E+00	1.00E+00	3.90E-16
1.00E+00	1.10E+00	3.96E-16
1.00E+00	1.20E+00	4.00E-16
1.00E+00	1.30E+00	4.02E-16
1.00E+00	1.40E+00	4.03E-16
1.00E+00	1.50E+00	4.02E-16
