#Vds(V)	         Vgs(V)	         Id(A/um)        
-1.00E+00	0.00E+00	-9.99E-12
-1.00E+00	1.00E-01	-9.99E-12
-1.00E+00	2.00E-01	-9.99E-12
-1.00E+00	3.00E-01	-9.99E-12
-1.00E+00	4.00E-01	-9.99E-12
-1.00E+00	5.00E-01	-9.99E-12
-1.00E+00	6.00E-01	-9.99E-12
-1.00E+00	7.00E-01	-9.99E-12
-1.00E+00	8.00E-01	-9.99E-12
-1.00E+00	9.00E-01	-9.99E-12
-1.00E+00	1.00E+00	-9.99E-12
-1.00E+00	1.10E+00	-9.99E-12
-1.00E+00	1.20E+00	-9.99E-12
-1.00E+00	1.30E+00	-9.99E-12
-1.00E+00	1.40E+00	-9.99E-12
-1.00E+00	1.50E+00	-9.99E-12
5.00E-02	0.00E+00	9.08E-12
5.00E-02	1.00E-01	4.25E-11
5.00E-02	2.00E-01	6.08E-11
5.00E-02	3.00E-01	6.28E-11
5.00E-02	4.00E-01	6.29E-11
5.00E-02	5.00E-01	6.29E-11
5.00E-02	6.00E-01	6.29E-11
5.00E-02	7.00E-01	6.29E-11
5.00E-02	8.00E-01	6.29E-11
5.00E-02	9.00E-01	6.29E-11
5.00E-02	1.00E+00	6.29E-11
5.00E-02	1.10E+00	6.29E-11
5.00E-02	1.20E+00	6.29E-11
5.00E-02	1.30E+00	6.29E-11
5.00E-02	1.40E+00	6.29E-11
5.00E-02	1.50E+00	6.29E-11
1.00E-01	0.00E+00	1.44E-11
1.00E-01	1.00E-01	1.26E-10
1.00E-01	2.00E-01	4.07E-10
1.00E-01	3.00E-01	4.96E-10
1.00E-01	4.00E-01	5.03E-10
1.00E-01	5.00E-01	5.04E-10
1.00E-01	6.00E-01	5.04E-10
1.00E-01	7.00E-01	5.04E-10
1.00E-01	8.00E-01	5.04E-10
1.00E-01	9.00E-01	5.04E-10
1.00E-01	1.00E+00	5.04E-10
1.00E-01	1.10E+00	5.04E-10
1.00E-01	1.20E+00	5.04E-10
1.00E-01	1.30E+00	5.04E-10
1.00E-01	1.40E+00	5.04E-10
1.00E-01	1.50E+00	5.04E-10
2.00E-01	0.00E+00	2.26E-11
2.00E-01	1.00E-01	2.45E-10
2.00E-01	2.00E-01	2.47E-09
2.00E-01	3.00E-01	1.42E-08
2.00E-01	4.00E-01	2.39E-08
2.00E-01	5.00E-01	2.53E-08
2.00E-01	6.00E-01	2.54E-08
2.00E-01	7.00E-01	2.54E-08
2.00E-01	8.00E-01	2.55E-08
2.00E-01	9.00E-01	2.55E-08
2.00E-01	1.00E+00	2.55E-08
2.00E-01	1.10E+00	2.55E-08
2.00E-01	1.20E+00	2.55E-08
2.00E-01	1.30E+00	2.55E-08
2.00E-01	1.40E+00	2.55E-08
2.00E-01	1.50E+00	2.55E-08
3.00E-01	0.00E+00	3.31E-11
3.00E-01	1.00E-01	3.58E-10
3.00E-01	2.00E-01	3.93E-09
3.00E-01	3.00E-01	4.25E-08
3.00E-01	4.00E-01	3.41E-07
3.00E-01	5.00E-01	9.39E-07
3.00E-01	6.00E-01	1.16E-06
3.00E-01	7.00E-01	1.22E-06
3.00E-01	8.00E-01	1.25E-06
3.00E-01	9.00E-01	1.26E-06
3.00E-01	1.00E+00	1.26E-06
3.00E-01	1.10E+00	1.27E-06
3.00E-01	1.20E+00	1.27E-06
3.00E-01	1.30E+00	1.27E-06
3.00E-01	1.40E+00	1.28E-06
3.00E-01	1.50E+00	1.28E-06
4.00E-01	0.00E+00	4.75E-11
4.00E-01	1.00E-01	5.10E-10
4.00E-01	2.00E-01	5.62E-09
4.00E-01	3.00E-01	6.29E-08
4.00E-01	4.00E-01	6.66E-07
4.00E-01	5.00E-01	4.81E-06
4.00E-01	6.00E-01	1.41E-05
4.00E-01	7.00E-01	2.19E-05
4.00E-01	8.00E-01	2.74E-05
4.00E-01	9.00E-01	3.13E-05
4.00E-01	1.00E+00	3.42E-05
4.00E-01	1.10E+00	3.65E-05
4.00E-01	1.20E+00	3.83E-05
4.00E-01	1.30E+00	3.97E-05
4.00E-01	1.40E+00	4.09E-05
4.00E-01	1.50E+00	4.20E-05
5.00E-01	0.00E+00	6.71E-11
5.00E-01	1.00E-01	7.13E-10
5.00E-01	2.00E-01	7.82E-09
5.00E-01	3.00E-01	8.74E-08
5.00E-01	4.00E-01	9.30E-07
5.00E-01	5.00E-01	7.24E-06
5.00E-01	6.00E-01	2.80E-05
5.00E-01	7.00E-01	5.91E-05
5.00E-01	8.00E-01	9.03E-05
5.00E-01	9.00E-01	1.18E-04
5.00E-01	1.00E+00	1.42E-04
5.00E-01	1.10E+00	1.63E-04
5.00E-01	1.20E+00	1.81E-04
5.00E-01	1.30E+00	1.97E-04
